FireDiscoveryDateTime,lon,lat
2020-12-01,-117.181712009,34.0895549200001
2020-12-01,-121.913041006,36.5665428770001
2020-12-02,-118.916679164,35.9008383120001
2020-12-05,-118.183212192,34.2331048790001
2020-12-05,-117.12589693,33.1972108200001
2020-12-07,-117.054455961,33.7656748900001
2020-12-08,-117.269899,33.78290688
2020-12-09,-119.895431788,37.475303099
2020-12-10,-116.984118941,33.665755882
2020-12-10,-118.965568149,36.6616717850001
2020-12-10,-118.112322217,34.6677049310001
2020-12-13,-117.032237099,33.9092795340001
2020-12-14,-116.689188813,32.6247097740001
2020-12-15,-118.117942222,34.711284936
2020-12-16,-116.981400781,32.869449188
2020-12-18,-118.028902141,33.9280948540001
2020-12-19,-121.551246993,36.9611569370001
2020-12-24,-118.090482162,34.063544866
